Отметка времени;Амбассадор;Выбери активность;Название заведения с Яндекс карты;Адрес с Яндекс карты;Bliss ( что стоит в работе );WHITE LINE  ( что стоит в работе );BLACK LINE  ( что стоит в работе );CIGAR LINE  ( что стоит в работе )
11.09.2025;Дмитрий Гришин;Проезд;Les;Ломоносова 22;АПЕЛЬСИН, АРБУЗНАЯ ЖВАЧКА, ДЫНЯ, КИСЛАЯ СМОРОДИНА, КЛУБНИКА, КОКОС, КОЛА, КРАСНЫЙ ВИНОГРАД, ЛИМОН, ЛИМОНЧЕЛЛО, МАЛИНА, МАЛИНОВАЯ КОЛА, МАНГО, ПЕРСИК ЙОГУРТ, СЛИВОЧНЫЙ КРЕМ, ТРОПИЧЕСКИЙ СМУЗИ, ХВОЯ, ЧЕРНИЧНЫЙ СОРБЕТ, ЯГОДНЫЙ СМУЗИ, PINK SHOT, SUPER ICE, КИСЛАЯ БУЗИНА, ЛАЙМ;АЛОЭ КЛУБНИКА, АНАНАC, АНАНАC ФЕЙХОА, АРБУЗ ЯГОДЫ, БАЗИЛИК ЛАЙМ, БАНАН, БАРБАРИС, ВИШНЁВЫЙ СОК, ВИШНЕВАЯ ГАЗИРОВКА, ГАСПАЧО, ГОЛУБИКА, ГРЕЙПФРУТ, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ГРУША, ГРУША ГОРГОНЗОЛА, ДЫНЯ ЙОГУРТ, ЁЛКИ ЯГОДЫ АНАНАС, ЗЕЛЁНОЕ ЯБЛОКО ( БЕЗ АНИСА), ЗЕЛЕНЫЙ ЧАЙ, ЗЕМЛЯНИКА, ИНДИГО (ЧЕРНИКА МАЛИНА БУЗИНА), КАКТУС ПОМЕЛО, КАРАМЕЛЬ ЦИТРУС, КИВИ СЕЛЬДЕРЕЙ, КИСЛАЯ МАЛИНА, КЛУБНИКА ОГУРЕЦ, КОКОС, КОЛА КАРАМЕЛЬ, ЛАВАНДА ФЕЙХОА, ЛАВАНДОВЫЙ ТОНИК, ЛЕДЯНОЙ АРБУЗ, ЛИМОНЧЕЛЛО, МАЙ ТАЙ (РОМ ЛАЙМ АНАНАС МИНДАЛЬ), МАНДАРИН, МАРАКУЙЯ, МУЛЬТИФРУКТ, ОАЗИС (МАНГО ЛИЧИ АПЕЛЬСИН), ПЕРСИК, ПЕСОЧНОЕ ПЕЧЕНЬЕ, ПОСЛЕДНИЙ САМУРАЙ (ВАНИЛЬ ВИШНЯ ЖАСМИН), СМОРОДИНА КРЫЖОВНИК, СМОРОДИНА ЧАБРЕЦ, ФРУКТОВАЯ КОНФЕТА, ЧЕРЁМУХА, ЧЕРНИКА ЙОГУРТ, ЧУПА ЭНЕРДЖИ, ЯГОДНЫЙ, ЯГОДНЫЙ МИЛКШЕЙК, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);АНАНАС, АРБУЗ, ГВОЗДИКА, ГОЛУБИКА, ГРЕЙПФРУТ, ЗЕЛЕНЫЙ ЧАЙ, ЗЕМЛЯНИКА ЛЕМОНГРАСС, КОРИЦА, ЛАВАНДА, ЛЕДЕНЦЫ ЛИМОН ДЫНЯ, МАЛИНА ЛИЧИ БАЗИЛИК, ПЕСОЧНОЕ ПЕЧЕНЬЕ, СЛИВА АБРИКОС, ТОРФЯНОЙ ВИСКИ, УРАЛ, ЧЁРНАЯ СМОРОДИНА;АНАНАС, ДЖИН, ЗЕМЛЯНИКА
11.09.2025;Кравцов Денис;Проезд;Резиденция Мусье;Москва, Долгоруковская улица, 25, стр. 1 • Вход прямо с улицы Долгоруковская, большая деревянная дверь с домофоном;;ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ГРУША ГОРГОНЗОЛА, КОКОС, ЛАВАНДА ФЕЙХОА, ЛИМОНЧЕЛЛО, ЧЕРЁМУХА;УРАЛ;ДЖИН, ЧЁРНЫЙ ПЕРЕЦ
11.09.2025;Кравцов Денис;Проезд;HookahPlace Маяк;Москва, Оружейный переулок, 3с1;;АНАНАC ФЕЙХОА, АРБУЗ ЯГОДЫ, ВИШНЁВЫЙ СОК, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ГРУША ГОРГОНЗОЛА, ДЫНЯ ЙОГУРТ, ИНДИГО (ЧЕРНИКА МАЛИНА БУЗИНА), КАКТУС ПОМЕЛО, КИВИ СЕЛЬДЕРЕЙ, КИСЛАЯ МАЛИНА, КОКОС, КОЛА КАРАМЕЛЬ, ЛАВАНДА ФЕЙХОА, СМОРОДИНА КРЫЖОВНИК, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);ПЕСОЧНОЕ ПЕЧЕНЬЕ, СЛИВА АБРИКОС, ТОРФЯНОЙ ВИСКИ, УРАЛ;
11.09.2025;Кравцов Денис;Проезд;Terry Lounge;Москва, Оружейный переулок, 13, стр. 2;;ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ЗЕЛЁНОЕ ЯБЛОКО ( БЕЗ АНИСА), ЛАВАНДОВЫЙ ТОНИК;;
11.09.2025;Кравцов Денис;Проезд;Roof Lounge;Москва, Оружейный переулок, 15А, 125047;;;;
11.09.2025;Кравцов Денис;Проезд;Философия;Москва, Новослободская улица, 45А;СЛИВОЧНЫЙ КРЕМ;ГОЛУБИКА, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ГРУША ГОРГОНЗОЛА, ЗЕМЛЯНИКА, КИВИ СЕЛЬДЕРЕЙ, ЛАВАНДА ФЕЙХОА;УРАЛ, ЧЁРНАЯ СМОРОДИНА;ДЖИН, КАРАМЕЛЬ
11.09.2025;Кравцов Денис;Проезд;Dukh;Москва, Новослободская улица, 19, стр. 1, 127030;;ГАСПАЧО, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ЧЕРЁМУХА;;
11.09.2025;Кравцов Денис;Проезд;HookahPlace Blacks;Москва, Новослободская улица, 14/19с4, 127030;АПЕЛЬСИН, АРБУЗНАЯ ЖВАЧКА, ДЫНЯ, КРАСНЫЙ ВИНОГРАД, ЛИМОНЧЕЛЛО, МАЛИНА, МАНГО, ХВОЯ;ГОЛУБИКА, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);;
11.09.2025;Кравцов Денис;Проезд;Hookah Place Depo;Москва, Лесная улица, 55, 127055;;;;
11.09.2025;Кравцов Денис;Проезд;Pipe;Москва, Лесная улица, 20, стр. 8;;ВИШНЁВЫЙ СОК, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ГРУША ГОРГОНЗОЛА, ЗЕМЛЯНИКА, КАКТУС ПОМЕЛО, КИВИ СЕЛЬДЕРЕЙ, ЛАВАНДА ФЕЙХОА;;
11.09.2025;Левин Роман;Проезд;Дым Дымыч;Краснодар, Сормовская улица, 12Е;КЛУБНИКА, ЛИМОН, МАНГО, ТРОПИЧЕСКИЙ СМУЗИ;ЛИМОНЧЕЛЛО;КОРИЦА, СЛИВА АБРИКОС, SWITTLES( ФРУКТОВОЕ ДРАЖЕ);
11.09.2025;Шарков Роман;Проезд;Beton Lounge & Bar;Республика Башкортостан, Уфа, улица Мустая Карима, 4;АРБУЗНАЯ ЖВАЧКА, КИСЛАЯ СМОРОДИНА, КЛУБНИКА, КРАСНЫЙ ВИНОГРАД, МАНГО, ТРОПИЧЕСКИЙ СМУЗИ, ЧЕРНИЧНЫЙ СОРБЕТ, ЯГОДНЫЙ СМУЗИ;БАРБАРИС, ГАСПАЧО, ЗЕЛЕНЫЙ ЧАЙ, ПЕСОЧНОЕ ПЕЧЕНЬЕ, ПОСЛЕДНИЙ САМУРАЙ (ВАНИЛЬ ВИШНЯ ЖАСМИН);;
11.09.2025;Левин Роман;Проезд;Лайм Lounge;Краснодар, Уральская улица, 162/7;КИСЛАЯ СМОРОДИНА, МАЛИНА, ТРОПИЧЕСКИЙ СМУЗИ, ЧЕРНИЧНЫЙ СОРБЕТ, PINK SHOT;;;
11.09.2025;Шарков Роман;Проезд;Smoky Rabbits;Республика Башкортостан, Уфа, улица Свердлова, 100 • этаж 3;ДЫНЯ, КИСЛАЯ СМОРОДИНА, КРАСНЫЙ ВИНОГРАД, ЛИМОН, МАЛИНОВАЯ КОЛА, ХВОЯ, ЧЕРНИЧНЫЙ СОРБЕТ;БАРБАРИС, ЛЕДЯНОЙ АРБУЗ, МАЙ ТАЙ (РОМ ЛАЙМ АНАНАС МИНДАЛЬ), ПЕСОЧНОЕ ПЕЧЕНЬЕ;;
11.09.2025;Дмитрий Гришин;Проезд;Hookah Place Korov;Карла Маркса 75;ТРОПИЧЕСКИЙ СМУЗИ;ГАСПАЧО, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), SWITTLES (ФРУКТОВОЕ ДРАЖЕ);ЛАВАНДА;БАЗА
11.09.2025;Дмитрий Гришин;Проезд;Pelli-Pilli club;Профсоюзная 44;АПЕЛЬСИН, ХВОЯ, PINK SHOT, КИСЛАЯ БУЗИНА;АНАНАC, БАРБАРИС, ВИШНЕВАЯ ГАЗИРОВКА, ГОЛУБИКА, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ЗЕЛЕНЫЙ ЧАЙ, ИНДИГО (ЧЕРНИКА МАЛИНА БУЗИНА), КОЛА КАРАМЕЛЬ, ЛАВАНДОВЫЙ ТОНИК, МАРАСКИНО ЧЕРРИ, МУЛЬТИФРУКТ;ГОЛУБИКА, ЛАВАНДА, ЧЁРНАЯ СМОРОДИНА;
12.09.2025;Эдуард Цепелев;Проезд;All Stars;Пермь, улица Мира, 41В, 614095;АПЕЛЬСИН, АРБУЗНАЯ ЖВАЧКА, ДЫНЯ, КИСЛАЯ СМОРОДИНА, КЛУБНИКА, КРАСНЫЙ ВИНОГРАД, ЛИМОН, ЛИМОНЧЕЛЛО, МАЛИНА, МАНГО, СЛИВОЧНЫЙ КРЕМ, ТРОПИЧЕСКИЙ СМУЗИ, ЧЕРНИЧНЫЙ СОРБЕТ, ЯГОДНЫЙ СМУЗИ, PINK SHOT;БАРБАРИС, ВИШНЁВЫЙ СОК, КИСЛАЯ МАЛИНА, КОЛА КАРАМЕЛЬ, МУЛЬТИФРУКТ, ПЕСОЧНОЕ ПЕЧЕНЬЕ, ЧЕРНИКА ЙОГУРТ, ЧУПА ЭНЕРДЖИ, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);КОРИЦА;АНАНАС, ЗЕМЛЯНИКА, МАЛИНА, МАНГО, ЧЁРНЫЙ ПЕРЕЦ
12.09.2025;Дмитрий Мальков;Проезд;Rizz;Пятницкая улица, 24;;АЛОЭ КЛУБНИКА, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ДЫНЯ ЙОГУРТ, ИНДИГО (ЧЕРНИКА МАЛИНА БУЗИНА), КАКТУС ПОМЕЛО, КИВИ СЕЛЬДЕРЕЙ, ПЕСОЧНОЕ ПЕЧЕНЬЕ;;МАЛИНА, МОРКОВНЫЙ ФРЕШ
12.09.2025;Эдуард Цепелев;Проезд;Сая;Пермь, Пермская улица, 33, 614000;;ВИШНЁВЫЙ СОК, КАРАМЕЛЬ ЦИТРУС, КОКОС, ЛАВАНДОВЫЙ ТОНИК, ЯГОДНЫЙ;;КАРАМЕЛЬ, МОРКОВНЫЙ ФРЕШ, ЧЁРНЫЙ ПЕРЕЦ
12.09.2025;Дмитрий Мальков;Проезд;Sibir';Москва, Кадашёвская набережная, 6/1/2с1, 119017;;;;
12.09.2025;Дмитрий Никулин;Проезд;Underground Lounge;Средний Кисловский пер., 3, стр. 1А;;КЛУБНИКА АНАНАС, КОКОС, МАЛИНА, МАРАСКИНО ЧЕРРИ, ПЕСОЧНОЕ ПЕЧЕНЬЕ, ЧЕРЁМУХА, ЧЕРНОСЛИВ КЕДР;АНАНАС, SWITTLES( ФРУКТОВОЕ ДРАЖЕ);АНАНАС, ГРЕЦКИЙ, ДЖИН, ЗЕМЛЯНИКА, КАРАМЕЛЬ, МОРКОВНЫЙ ФРЕШ, ЧЁРНЫЙ ПЕРЕЦ
12.09.2025;Дмитрий Никулин;Проезд;Tangiers Lounge;Арбатский пер., 2/6;;БАНАН, БАРБАРИС, ГОЛУБИКА, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ЗЕЛЕНЫЙ ЧАЙ, КОКОС, ЛАВАНДОВЫЙ ТОНИК, МУЛЬТИФРУКТ, ПЕСОЧНОЕ ПЕЧЕНЬЕ, ЧЕРЁМУХА, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);ГВОЗДИКА, КОРИЦА;
12.09.2025;Дмитрий Никулин;Проезд;HookahPlace;Арбатский пер., 2/6, 119019;;БАНАН, ВИШНЁВЫЙ СОК, ГОЛУБИКА, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ЗЕЛЁНОЕ ЯБЛОКО ( БЕЗ АНИСА), ЗЕЛЕНЫЙ ЧАЙ, КАРАМЕЛЬ ЦИТРУС, КОКОС, ЛАВАНДА ФЕЙХОА, МУЛЬТИФРУКТ, ПЕСОЧНОЕ ПЕЧЕНЬЕ, СМОРОДИНА ЧАБРЕЦ, ЧЕРЁМУХА, ЧУПА ЭНЕРДЖИ, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);ЧЁРНАЯ СМОРОДИНА;ЧЁРНЫЙ ПЕРЕЦ
12.09.2025;Дмитрий Мальков;Проезд;Балчуг панорама;Москва, Садовническая набережная, 7;;;;
12.09.2025;Дмитрий Никулин;Проезд;Mos Lounge & Bar;Арбатский пер., 2/6, 119019;;АЛОЭ КЛУБНИКА, КАРАМЕЛЬ ЦИТРУС, КИСЛАЯ МАЛИНА, КОКОС, ПЕСОЧНОЕ ПЕЧЕНЬЕ, СМОРОДИНА ЧАБРЕЦ;ЗЕМЛЯНИКА ЛЕМОНГРАСС, СЛИВА АБРИКОС, УРАЛ;
14.09.2025;Дмитрий Гришин;Проезд;Cactus 2.0;Гайдара 1;АПЕЛЬСИН, АРБУЗНАЯ ЖВАЧКА, КЛУБНИКА, ЛИМОН, ЛИМОНЧЕЛЛО, ХВОЯ, PINK SHOT;КОКОС, ЛАВАНДОВЫЙ ТОНИК, ЛЕДЯНОЙ АРБУЗ;;
15.09.2025;Эдуард Цепелев;Проезд;Кисмараули;Пермь, улица Луначарского, 97Б, 614068;АПЕЛЬСИН, ДЫНЯ, КОКОС, КРАСНЫЙ ВИНОГРАД, ПЕРСИК ЙОГУРТ, ЯГОДНЫЙ СМУЗИ, PINK SHOT, SUPER ICE;;ЧЁРНАЯ СМОРОДИНА;
15.09.2025;Дмитрий Никулин;Проезд;JohnCalliano Lounge;Москва, улица Солянка, 1/2с1 • этаж 1;;;КОРИЦА;КАРАМЕЛЬ, ЧЁРНЫЙ ПЕРЕЦ
15.09.2025;Эдуард Цепелев;Проезд;Chill Out;Пермь, улица Ленина, 58, 614000;АПЕЛЬСИН, АРБУЗНАЯ ЖВАЧКА, ДЫНЯ, КИСЛАЯ СМОРОДИНА, КЛУБНИКА, КОКОС, КРАСНЫЙ ВИНОГРАД, МАНГО, ПЕРСИК ЙОГУРТ, СЛИВОЧНЫЙ КРЕМ, ЧЕРНИЧНЫЙ СОРБЕТ, ЯГОДНЫЙ СМУЗИ, PINK SHOT, SUPER ICE;ГРУША ГОРГОНЗОЛА, ЗЕЛЁНОЕ ЯБЛОКО ( БЕЗ АНИСА), МАНГО КИВИ, МУЛЬТИФРУКТ, ЧУПА ЭНЕРДЖИ, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);АРБУЗ, ГРЕЙПФРУТ, ЗЕЛЕНЫЙ ЧАЙ, ПЕСОЧНОЕ ПЕЧЕНЬЕ, ТОРФЯНОЙ ВИСКИ, ЧЁРНАЯ СМОРОДИНА, SWITTLES( ФРУКТОВОЕ ДРАЖЕ);АНАНАС, ЧЁРНЫЙ ПЕРЕЦ
15.09.2025;Эдуард Цепелев;Проезд;Либерти;Пермь, улица Ленина, 58;АПЕЛЬСИН, АРБУЗНАЯ ЖВАЧКА, ДЫНЯ, ЛИМОНЧЕЛЛО, ТРОПИЧЕСКИЙ СМУЗИ, ЧЕРНИЧНЫЙ СОРБЕТ, ЯГОДНЫЙ СМУЗИ;;;
15.09.2025;Дмитрий Никулин;Проезд;Loungebar Культура;Москва, улица Солянка, 4, стр. 4, 109240;;ГАСПАЧО, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), КОКОС, МУЛЬТИФРУКТ, ПЕСОЧНОЕ ПЕЧЕНЬЕ, ЧЕРЁМУХА, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);;
15.09.2025;Чечин Илья;Проезд;Вишня золотая ;Улица Ульянова-Ленина, 65 / улица Муштари, 1;КОКОС, МАЛИНОВАЯ КОЛА;ВИШНЁВЫЙ СОК, ЧЕРЁМУХА;;
15.09.2025;Левин Роман;Проезд;Underground Lounge;Краснодар, Красная улица, 72;ЛИМОН, МАЛИНА, ЯГОДНЫЙ СМУЗИ;ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ЧЕРЁМУХА;;
15.09.2025;Голев Вадим;Проезд;Crystal Lounge;Стрелка, проспект Космонавтов, 23а;;АЛОЭ КЛУБНИКА, ВИШНЁВЫЙ СОК, ГАСПАЧО, ГРУША ГОРГОНЗОЛА, ПЕСОЧНОЕ ПЕЧЕНЬЕ, ЧУПА ЭНЕРДЖИ, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);;
15.09.2025;Дмитрий Никулин;Проезд;Мята Lounge;Москва, Большой Спасоглинищевский переулок, 9/1с16А, 101000 • этаж 3;;ЛАВАНДОВЫЙ ТОНИК, САХАРНАЯ КЛЮКВА;;
15.09.2025;Дмитрий Никулин;Проезд;Mos lounge & bar;Москва, Большой Спасоглинищевский переулок, 3, стр. 5, 101000;;ФРУКТОВАЯ КОНФЕТА;;
15.09.2025;Дмитрий Никулин;Проезд;Дуть;Москва, улица Маросейка, 4/2с1, 101000 • этаж 2;;ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ЗЕЛЁНОЕ ЯБЛОКО ( БЕЗ АНИСА), КИВИ СЕЛЬДЕРЕЙ, ПЕСОЧНОЕ ПЕЧЕНЬЕ, ЧЕРЁМУХА, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);;ЧЁРНЫЙ ПЕРЕЦ
15.09.2025;Чечин Илья;Проезд;Ю!;Улица Бутлерова, 21;;;;
15.09.2025;Голев Вадим;Проезд;Resource Game Zone x Lounge Bar;ЖК Парковый Квартал, Цвиллинга, 7а;АРБУЗНАЯ ЖВАЧКА, ДЫНЯ, КОКОС, МАЛИНА, ТРОПИЧЕСКИЙ СМУЗИ, ХВОЯ;ДЫНЯ ЙОГУРТ, СМОРОДИНА КРЫЖОВНИК;АРБУЗ, ПЕСОЧНОЕ ПЕЧЕНЬЕ, ЧЕРНИКА РОМАШКА, SWITTLES( ФРУКТОВОЕ ДРАЖЕ);
15.09.2025;Левин Роман;Проезд;Dom Yohji;Краснодар, Центральный внутригородской округ, микрорайон Центральный, улица Гоголя, 63;;;;
15.09.2025;Шарков Роман;Проезд;Smena;Самара, Ленинградская улица, 35, 443099 • этаж 3;ДЫНЯ, КИСЛАЯ СМОРОДИНА, КЛУБНИКА, КОКОС, МАНГО, СЛИВОЧНЫЙ КРЕМ, ТРОПИЧЕСКИЙ СМУЗИ;АЛОЭ КЛУБНИКА, АРБУЗ ЯГОДЫ, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ГРУША ГОРГОНЗОЛА, ДЫНЯ ЙОГУРТ, ИНДИГО (ЧЕРНИКА МАЛИНА БУЗИНА), КИВИ СЕЛЬДЕРЕЙ, КИСЛАЯ МАЛИНА, КОКОС, МАЙ ТАЙ (РОМ ЛАЙМ АНАНАС МИНДАЛЬ), МАРАСКИНО ЧЕРРИ, ПЕСОЧНОЕ ПЕЧЕНЬЕ, ЧЕРЁМУХА, ЯГОДНЫЙ МИЛКШЕЙК;;
15.09.2025;Голев Вадим;Проезд;Marlerino Lounge;ЖК Парковый Квартал, Цвиллинга, 7а;;;;
15.09.2025;Чечин Илья;Проезд;Art core;ГУМ, улица Баумана, 51;АПЕЛЬСИН, КИСЛАЯ СМОРОДИНА, КРАСНЫЙ ВИНОГРАД, ТРОПИЧЕСКИЙ СМУЗИ;ПЕРСИК;;
15.09.2025;Голев Вадим;Проезд;Пых Team;ЖК Чемпион Парк, Машинная улица, 1Б к1;АПЕЛЬСИН, ДЫНЯ, КЛУБНИКА, КОКОС, ЛИМОН, ЛИМОНЧЕЛЛО, ПЕРСИК ЙОГУРТ, СЛИВОЧНЫЙ КРЕМ, ТРОПИЧЕСКИЙ СМУЗИ, ЧЕРНИЧНЫЙ СОРБЕТ;БАНАН, ВИНОГРАД МЯТА, ГОЛУБИКА, ГРУША, КАКТУС ПОМЕЛО, КИСЛАЯ МАЛИНА, КЛУБНИКА АНАНАС, КОКОС, МАЙ ТАЙ (РОМ ЛАЙМ АНАНАС МИНДАЛЬ), МАНДАРИН, МАРАКУЙЯ, МУЛЬТИФРУКТ, ОАЗИС (МАНГО ЛИЧИ АПЕЛЬСИН), ПОСЛЕДНИЙ САМУРАЙ (ВАНИЛЬ ВИШНЯ ЖАСМИН), СМОРОДИНА КРЫЖОВНИК, СМОРОДИНА ЧАБРЕЦ, ФРУКТОВАЯ КОНФЕТА, ЧЕРЁМУХА, ЧУПА ЭНЕРДЖИ, ЯГОДНЫЙ МИЛКШЕЙК, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);ГВОЗДИКА, ЛАВАНДА, ПЕСОЧНОЕ ПЕЧЕНЬЕ;АНАНАС, БАЗА, ГРЕЦКИЙ, ДЖИН, КАРАМЕЛЬ
15.09.2025;Шарков Роман;Проезд;Gustov Lab;Самара, Ново-Садовая улица, 3;ТРОПИЧЕСКИЙ СМУЗИ, ЧЕРНИЧНЫЙ СОРБЕТ, ЯГОДНЫЙ СМУЗИ, PINK SHOT;;;
15.09.2025;Левин Роман;Проезд;Шо’Ко Лаунж;Краснодар, микрорайон Центральный, Красноармейская улица, 67, 350000;ЛИМОНЧЕЛЛО, МАЛИНА, ЧЕРНИЧНЫЙ СОРБЕТ;ГОЛУБИКА, ГРУША ГОРГОНЗОЛА, ЗЕЛЕНЫЙ ЧАЙ, КОЛА КАРАМЕЛЬ, ПЕСОЧНОЕ ПЕЧЕНЬЕ, СМОРОДИНА КРЫЖОВНИК, СМОРОДИНА ЧАБРЕЦ, ЯГОДНЫЙ МИЛКШЕЙК;;
15.09.2025;Левин Роман;Проезд;Nua Center;Краснодар, Центральный внутригородской округ, микрорайон Центральный, Красноармейская улица, 69, 350000 • Вход со стороны трамвайных путей;КИСЛАЯ СМОРОДИНА, КОКОС, ПЕРСИК ЙОГУРТ, ХВОЯ, SUPER ICE;;;
15.09.2025;Голев Вадим;Проезд;Gaudi;ЖК Clever Park, улица Ткачей, 17;АПЕЛЬСИН, КИСЛАЯ СМОРОДИНА, КРАСНЫЙ ВИНОГРАД, ЛИМОНЧЕЛЛО, СЛИВОЧНЫЙ КРЕМ, ТРОПИЧЕСКИЙ СМУЗИ, ЯГОДНЫЙ СМУЗИ, PINK SHOT;ГАСПАЧО, ГРУША ГОРГОНЗОЛА, ПОСЛЕДНИЙ САМУРАЙ (ВАНИЛЬ ВИШНЯ ЖАСМИН), САХАРНАЯ КЛЮКВА, ЧЕРЁМУХА, ЧЕРНОСЛИВ КЕДР;ГВОЗДИКА, КОРИЦА, ЧУПА ЭНЕРДЖИ;
15.09.2025;Голев Вадим;Проезд;Grey hookah bar;Улица Ткачей, 21;АПЕЛЬСИН, АРБУЗНАЯ ЖВАЧКА, ДЫНЯ, КИСЛАЯ СМОРОДИНА, КОКОС, КРАСНЫЙ ВИНОГРАД, МАЛИНА, МАНГО, СЛИВОЧНЫЙ КРЕМ, ЧЕРНИЧНЫЙ СОРБЕТ, ЯГОДНЫЙ СМУЗИ;ЗЕМЛЯНИКА, МАРАСКИНО ЧЕРРИ, ОАЗИС (МАНГО ЛИЧИ АПЕЛЬСИН), СМОРОДИНА ЧАБРЕЦ;;
15.09.2025;Левин Роман;Проезд;Давай Покрепче;Краснодар, Северная улица, 299А;КОКОС, ПЕРСИК ЙОГУРТ, ТРОПИЧЕСКИЙ СМУЗИ, ЯГОДНЫЙ СМУЗИ;;;
15.09.2025;Шарков Роман;Проезд;Smoky Lair;Самарская область, Новокуйбышевск, улица Свердлова, 2А, 446219;КЛУБНИКА;;;
15.09.2025;Шарков Роман;Проезд;HookahPlace;Самарская область, Новокуйбышевск, улица Белинского, 11Б;;;;
16.09.2025;Эдуард Цепелев;Проезд;All Stars;Пермь, улица Луначарского, 99, 614068;АРБУЗНАЯ ЖВАЧКА, ДЫНЯ, МАЛИНА, МАЛИНОВАЯ КОЛА, МАНГО, СЛИВОЧНЫЙ КРЕМ, ЧЕРНИЧНЫЙ СОРБЕТ, ЯГОДНЫЙ СМУЗИ;ГАСПАЧО, ГРУША ГОРГОНЗОЛА, ЗЕЛЁНОЕ ЯБЛОКО ( БЕЗ АНИСА), ЗЕЛЕНЫЙ ЧАЙ, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);ЛЕДЕНЦЫ ЛИМОН ДЫНЯ;ГРЕЦКИЙ, ДЖИН, КАРАМЕЛЬ, МОРКОВНЫЙ ФРЕШ, ЧЁРНЫЙ ПЕРЕЦ
